time,generator-3933-CG,generator-8034-H,generator-7031-G,generator-3631-NB,generator-7031-P,generator-2638-H,generator-1431-N,generator-2030-G,generator-5032-R,generator-8033-H,generator-3234-NG,generator-4039-G,generator-1034-C,generator-4231-C,generator-5032-G,generator-5032-C,generator-2030-E,generator-3933-NG,generator-2630-G,generator-4232-H,generator-4132-N,generator-7032-G,generator-6533-H,generator-1131-G,generator-3836-DG,generator-4132-G,generator-6235-G,generator-1131-C,generator-2438-EG,generator-7032-C,generator-2438-SH,generator-3234-MG,generator-3135-NG,generator-3933-NH,generator-4131-B,generator-1232-H,generator-2438-WG,generator-4131-H,generator-6132-H,generator-4031-H,generator-6335-C,generator-1032-G,generator-3731-NH,generator-2438-RG,generator-2130-H,generator-3333-CG,generator-2233-DG,generator-6132-G,generator-2233-TG,generator-7032-H,generator-3531-CE,generator-8034-G,generator-4132-H,generator-3831-NN,generator-4232-G,generator-2637-H,generator-3333-NG,generator-6433-E,generator-7031-C,generator-2233-EG,generator-6533-C,generator-4035-H,generator-1333-G,generator-6335-H,generator-6231-C,generator-2634-C,generator-6533-G,generator-6235-H,generator-1034-G,generator-3835-NG,generator-2438-SG,generator-1331-G,generator-2130-E,generator-3531-NE,generator-4035-C,generator-6433-G,generator-1032-C,generator-4231-H,generator-3433-NG,generator-3234-DG,generator-4231-G,generator-4035-G,generator-3933-NB,generator-6433-C,generator-1232-C,generator-6335-G,generator-3931-NB,generator-5031-G,generator-4031-G,generator-2130-G,generator-4039-H,generator-3135-MG,generator-3931-NH,generator-3133-NG,generator-6231-G,generator-3531-NH,generator-3631-NG,generator-6333-C,generator-1333-C,generator-1431-G,generator-5031-H,generator-6132-B,generator-1331-H
0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
0.01,60.0,60.000000000000014,60.0,59.999999999999986,60.0,60.0,60.00000000000004,60.0,60.00000000000004,60.0,60.0,59.99999999999999,60.00000000000012,60.00000000000006,60.0,59.99999999999998,60.00000000000004,60.0,60.0,60.0,60.00000000000006,59.99999999999999,60.0,60.0,60.0,60.0,60.000000000000014,60.000000000000014,60.0,60.00000000000006,60.0,60.0,60.0,60.0,60.00000000000006,60.0,59.99999999999999,60.0,60.0,60.0,60.00000000000008,59.99999999999999,59.99999999999998,60.0,60.0,60.0,60.0,59.99999999999999,60.0,59.99999999999999,60.00000000000003,60.0,60.0,60.00000000000008,60.000000000000014,60.0,60.0,59.99999999999996,59.99999999999997,59.99999999999999,59.99999999999997,60.0,60.0,60.0,59.99999999999998,60.00000000000009,60.0,60.0,60.0,60.0,60.0,60.0,60.00000000000006,60.00000000000004,59.99999999999999,60.0,60.00000000000011,60.0,60.0,60.0,60.0,60.0,59.99999999999998,59.99999999999996,60.00000000000004,60.000000000000014,59.99999999999997,59.99999999999999,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.00000000000008,60.00000000000006,59.99999999999999,60.0,59.99999999999996,60.0
0.02,60.0,60.00000000000003,60.0,59.999999999999964,60.00000000000003,59.999999999999964,60.00000000000009,60.000000000000014,60.00000000000011,60.000000000000014,59.99999999999999,60.0,60.00000000000023,60.00000000000011,59.99999999999999,59.99999999999995,60.000000000000064,60.0,60.0,59.999999999999986,60.00000000000012,59.99999999999996,60.0,60.00000000000003,60.0,60.0,60.00000000000004,60.00000000000003,60.0,60.00000000000012,60.0,60.0,60.0,60.0,60.00000000000011,59.99999999999999,59.99999999999999,60.0,60.0,60.00000000000003,60.000000000000156,60.0,59.999999999999915,60.0,60.00000000000003,60.0,60.0,60.0,60.0,60.0,60.00000000000009,60.0,60.0,60.000000000000156,60.000000000000014,60.00000000000003,60.0,59.99999999999993,59.99999999999994,60.0,59.99999999999994,60.00000000000003,59.999999999999986,60.000000000000014,59.99999999999997,60.00000000000017,60.0,60.0,60.000000000000014,60.000000000000014,60.00000000000003,60.0,60.00000000000012,60.00000000000008,59.99999999999997,60.0,60.000000000000185,60.0,60.0,60.0,60.0,60.0,59.99999999999994,59.99999999999993,60.00000000000008,60.00000000000003,59.99999999999994,59.99999999999997,59.99999999999999,59.999999999999986,60.0,60.00000000000003,60.0,60.0,59.99999999999999,59.999999999999986,60.0,60.00000000000012,60.00000000000012,59.99999999999997,60.00000000000003,59.99999999999993,60.0
0.03,60.0,60.00000000000006,60.0,59.99999999999994,60.00000000000008,59.99999999999992,60.00000000000015,60.000000000000014,60.00000000000015,60.000000000000014,59.99999999999999,60.00000000000003,60.000000000000334,60.000000000000156,59.99999999999999,59.99999999999993,60.00000000000008,60.0,59.99999999999999,59.99999999999995,60.000000000000185,59.999999999999886,59.99999999999999,60.000000000000064,59.999999999999986,60.0,60.00000000000012,60.00000000000004,60.0,60.0000000000002,60.0,60.0,59.999999999999986,60.0,60.00000000000015,60.000000000000014,59.99999999999998,60.0,60.00000000000003,60.00000000000008,60.00000000000024,60.000000000000014,59.99999999999978,60.0,60.00000000000006,60.000000000000014,60.0,60.00000000000003,60.0,60.00000000000003,60.000000000000156,60.0,60.0,60.00000000000024,60.00000000000004,60.00000000000008,60.0,59.999999999999915,59.99999999999993,60.00000000000003,59.99999999999993,60.000000000000064,59.99999999999995,60.000000000000014,59.99999999999998,60.000000000000256,59.99999999999999,59.99999999999999,60.000000000000014,60.000000000000014,60.00000000000006,60.0,60.00000000000021,60.00000000000012,59.99999999999995,60.0,60.00000000000024,60.0,60.0,60.0,60.0,59.999999999999986,59.99999999999992,59.9999999999999,60.00000000000015,60.00000000000006,59.99999999999991,59.99999999999994,59.99999999999999,59.99999999999996,59.999999999999986,60.000000000000064,60.0,60.0,59.99999999999999,59.999999999999964,60.0,60.00000000000015,60.0000000000002,59.99999999999993,60.000000000000064,59.99999999999991,60.0
0.04,60.0,60.00000000000009,60.000000000000014,59.99999999999993,60.000000000000156,59.99999999999984,60.00000000000023,60.00000000000004,60.000000000000185,60.00000000000004,59.99999999999998,60.00000000000006,60.00000000000044,60.0000000000002,59.99999999999998,59.9999999999999,60.00000000000006,60.0,60.000000000000014,59.99999999999991,60.00000000000028,59.999999999999766,59.99999999999999,60.000000000000135,59.99999999999997,60.0,60.000000000000256,60.00000000000003,59.99999999999999,60.00000000000027,59.99999999999999,60.0,59.999999999999964,60.0,60.000000000000185,60.000000000000014,59.99999999999995,60.0,60.00000000000006,60.000000000000156,60.00000000000032,60.00000000000004,59.99999999999957,59.99999999999999,60.00000000000011,60.000000000000014,60.0,60.00000000000006,60.0,60.00000000000006,60.000000000000256,60.0,60.0,60.00000000000032,60.00000000000008,60.000000000000156,60.0,59.99999999999991,59.99999999999991,60.00000000000006,59.99999999999992,60.00000000000012,59.99999999999991,60.00000000000004,60.000000000000014,60.00000000000035,59.99999999999999,59.99999999999999,60.00000000000004,60.00000000000004,60.00000000000011,60.0,60.000000000000334,60.000000000000156,59.999999999999936,59.99999999999999,60.00000000000028,60.0,60.000000000000014,60.0,59.99999999999999,59.99999999999997,59.9999999999999,59.99999999999988,60.00000000000023,60.00000000000009,59.99999999999986,59.99999999999988,59.999999999999986,59.99999999999992,59.99999999999997,60.00000000000012,60.0,60.0,59.99999999999998,59.999999999999936,60.0,60.000000000000156,60.00000000000027,59.99999999999986,60.00000000000012,59.9999999999999,60.0
0.05,60.0,60.000000000000156,60.000000000000014,59.99999999999991,60.00000000000027,59.999999999999716,60.000000000000306,60.000000000000064,60.00000000000023,60.000000000000064,59.999999999999964,60.00000000000009,60.00000000000053,60.00000000000024,59.999999999999964,59.99999999999988,59.99999999999997,60.0,60.000000000000014,59.999999999999844,60.00000000000037,59.999999999999595,59.999999999999986,60.00000000000021,59.99999999999995,60.000000000000014,60.00000000000044,60.0,59.99999999999999,60.00000000000036,59.99999999999999,60.000000000000014,59.99999999999994,60.0,60.00000000000023,60.00000000000004,59.99999999999993,60.0,60.00000000000008,60.00000000000028,60.0000000000004,60.000000000000064,59.99999999999926,59.99999999999999,60.000000000000185,60.00000000000003,59.99999999999999,60.00000000000011,59.99999999999999,60.00000000000009,60.00000000000037,60.0,60.0,60.0000000000004,60.000000000000135,60.00000000000027,59.99999999999999,59.99999999999993,59.9999999999999,60.00000000000011,59.99999999999992,60.0000000000002,59.999999999999844,60.000000000000064,60.000000000000064,60.00000000000041,59.999999999999986,59.999999999999986,60.000000000000064,60.000000000000064,60.000000000000185,60.0,60.00000000000048,60.0000000000002,59.999999999999915,59.99999999999999,60.00000000000027,60.0,60.00000000000003,60.000000000000014,60.000000000000014,59.99999999999995,59.99999999999988,59.999999999999865,60.00000000000032,60.00000000000017,59.999999999999815,59.99999999999981,59.99999999999997,59.99999999999986,59.99999999999995,60.0000000000002,60.0,60.0,59.999999999999964,59.99999999999989,60.0,60.00000000000012,60.00000000000035,59.99999999999975,60.00000000000023,59.99999999999991,60.0
0.06,60.0,60.000000000000256,60.00000000000003,59.99999999999989,60.00000000000041,59.999999999999545,60.0000000000004,60.00000000000009,60.00000000000024,60.00000000000009,59.99999999999994,60.000000000000156,60.00000000000061,60.00000000000028,59.99999999999995,59.999999999999844,59.99999999999985,60.0,60.00000000000003,59.999999999999744,60.00000000000049,59.99999999999936,59.99999999999998,60.000000000000334,59.999999999999915,60.00000000000003,60.00000000000068,59.99999999999995,59.999999999999986,60.000000000000455,59.999999999999986,60.00000000000003,59.99999999999991,60.0,60.00000000000027,60.000000000000064,59.999999999999886,60.000000000000014,60.00000000000012,60.000000000000455,60.00000000000048,60.00000000000012,59.99999999999884,59.999999999999986,60.00000000000029,60.00000000000006,59.999999999999986,60.000000000000156,59.999999999999986,60.000000000000135,60.00000000000052,60.0,60.0,60.00000000000048,60.00000000000021,60.00000000000041,60.000000000000014,59.99999999999996,59.99999999999989,60.000000000000156,59.99999999999993,60.00000000000032,59.99999999999974,60.00000000000011,60.00000000000015,60.00000000000048,59.99999999999997,59.99999999999997,60.00000000000012,60.00000000000012,60.00000000000029,60.0,60.000000000000654,60.00000000000024,59.999999999999886,59.999999999999986,60.00000000000023,60.000000000000014,60.00000000000003,60.00000000000003,60.00000000000003,59.999999999999936,59.99999999999986,59.999999999999865,60.00000000000044,60.000000000000256,59.99999999999976,59.9999999999997,59.99999999999996,59.99999999999978,59.999999999999915,60.00000000000032,60.0,60.0,59.99999999999994,59.999999999999844,60.0,60.00000000000006,60.00000000000044,59.999999999999616,60.00000000000036,59.99999999999993,60.0
0.07,59.99999999999999,60.00000000000037,60.00000000000004,59.99999999999988,60.0000000000006,59.99999999999934,60.00000000000052,60.00000000000015,60.000000000000256,60.00000000000015,59.99999999999992,60.000000000000256,60.000000000000696,60.00000000000032,59.99999999999993,59.999999999999815,59.99999999999967,59.99999999999999,60.00000000000006,59.99999999999964,60.00000000000061,59.99999999999907,59.999999999999964,60.00000000000048,59.99999999999987,60.00000000000003,60.00000000000099,59.99999999999988,59.99999999999997,60.00000000000055,59.99999999999998,60.00000000000003,59.99999999999986,60.000000000000014,60.000000000000306,60.00000000000009,59.99999999999984,60.00000000000003,60.000000000000185,60.00000000000067,60.00000000000056,60.00000000000017,59.99999999999831,59.99999999999997,60.000000000000426,60.00000000000008,59.99999999999998,60.00000000000024,59.99999999999998,60.0000000000002,60.000000000000696,60.0,59.99999999999999,60.00000000000056,60.00000000000032,60.00000000000061,60.00000000000003,60.000000000000014,59.99999999999989,60.00000000000023,59.99999999999994,60.00000000000047,59.99999999999962,60.000000000000156,60.00000000000024,60.00000000000055,59.99999999999996,59.99999999999996,60.00000000000017,60.00000000000017,60.00000000000044,60.0,60.00000000000087,60.00000000000028,59.99999999999986,59.99999999999998,60.00000000000015,60.00000000000003,60.00000000000004,60.00000000000003,60.00000000000003,59.9999999999999,59.999999999999844,59.99999999999988,60.00000000000058,60.00000000000036,59.99999999999969,59.99999999999957,59.99999999999994,59.99999999999967,59.99999999999987,60.00000000000047,60.000000000000014,60.0,59.999999999999915,59.99999999999978,60.0,59.99999999999994,60.00000000000053,59.99999999999943,60.00000000000053,59.999999999999964,59.99999999999999
0.08,60.000000000000014,60.00000000000052,60.000000000000064,59.99999999999987,60.00000000000084,59.999999999999076,60.00000000000064,60.000000000000185,60.000000000000256,60.000000000000185,59.99999999999989,60.00000000000036,60.00000000000079,60.00000000000036,59.9999999999999,59.99999999999978,59.999999999999446,60.000000000000014,60.00000000000008,59.9999999999995,60.00000000000076,59.999999999998714,59.99999999999995,60.00000000000068,59.99999999999982,60.00000000000004,60.00000000000136,59.99999999999979,59.99999999999996,60.00000000000064,59.999999999999964,60.00000000000004,59.999999999999815,60.00000000000003,60.00000000000035,60.00000000000015,59.99999999999977,60.00000000000003,60.000000000000256,60.00000000000093,60.00000000000064,60.000000000000256,59.99999999999766,59.99999999999996,60.000000000000576,60.00000000000011,59.99999999999997,60.00000000000032,59.99999999999997,60.00000000000027,60.00000000000088,60.0,60.000000000000014,60.00000000000064,60.000000000000455,60.00000000000084,60.00000000000003,60.00000000000009,59.99999999999991,60.00000000000032,59.99999999999998,60.000000000000654,59.99999999999947,60.00000000000021,60.000000000000384,60.0000000000006,59.99999999999994,59.99999999999994,60.000000000000256,60.00000000000024,60.00000000000061,60.0,60.00000000000111,60.00000000000032,59.99999999999984,59.99999999999997,60.00000000000003,60.00000000000003,60.000000000000064,60.00000000000004,60.00000000000004,59.999999999999865,59.999999999999844,59.99999999999991,60.00000000000076,60.00000000000048,59.999999999999616,59.99999999999942,59.99999999999993,59.99999999999954,59.99999999999983,60.00000000000067,60.00000000000003,60.0,59.99999999999988,59.9999999999997,60.0,59.999999999999794,60.000000000000625,59.999999999999204,60.000000000000746,60.000000000000014,59.999999999999986
0.09,60.00000000000003,60.000000000000696,60.00000000000009,59.999999999999865,60.00000000000111,59.999999999998764,60.000000000000774,60.000000000000256,60.00000000000023,60.000000000000256,59.99999999999985,60.00000000000048,60.00000000000085,60.000000000000384,59.99999999999987,59.99999999999974,59.99999999999917,60.00000000000003,60.00000000000011,59.99999999999933,60.00000000000091,59.999999999998295,59.99999999999994,60.00000000000091,59.99999999999976,60.000000000000064,60.0000000000018,59.99999999999967,59.99999999999994,60.000000000000746,59.99999999999995,60.00000000000006,59.99999999999975,60.00000000000004,60.00000000000037,60.000000000000185,59.9999999999997,60.00000000000004,60.00000000000035,60.00000000000125,60.00000000000072,60.00000000000032,59.9999999999969,59.99999999999994,60.00000000000076,60.000000000000135,59.999999999999964,60.00000000000041,59.999999999999964,60.00000000000036,60.00000000000111,60.0,60.000000000000014,60.00000000000072,60.0000000000006,60.00000000000111,60.00000000000004,60.000000000000185,59.99999999999992,60.000000000000426,60.00000000000003,60.00000000000087,59.99999999999929,60.00000000000028,60.00000000000056,60.00000000000067,59.999999999999936,59.999999999999936,60.000000000000334,60.000000000000334,60.000000000000824,60.0,60.000000000001386,60.00000000000036,59.999999999999815,59.99999999999996,59.99999999999987,60.00000000000004,60.00000000000009,60.00000000000006,60.000000000000064,59.99999999999982,59.99999999999984,59.99999999999994,60.00000000000096,60.00000000000064,59.99999999999953,59.99999999999924,59.99999999999991,59.999999999999396,59.99999999999977,60.000000000000895,60.00000000000004,60.0,59.999999999999844,59.99999999999961,60.0,59.999999999999595,60.00000000000072,59.999999999998934,60.000000000001,60.00000000000008,59.999999999999986
